id_notation,note,commentaire,date_notation
22,3,Memorable,"TO_TIMESTAMP(2026-11-18 06:59:51, YYYY-MM-DD HH24:MI:SS)"
23,4,Memorable,"TO_TIMESTAMP(2023-09-17 07:02:18, YYYY-MM-DD HH24:MI:SS)"
24,5,Parfait,"TO_TIMESTAMP(2024-04-16 13:53:11, YYYY-MM-DD HH24:MI:SS)"
25,5,Incroyable,"TO_TIMESTAMP(2026-10-06 05:56:13, YYYY-MM-DD HH24:MI:SS)"
26,3,A refaire tres vite,"TO_TIMESTAMP(2025-01-20 02:16:17, YYYY-MM-DD HH24:MI:SS)"
27,3,Surnaturel,"TO_TIMESTAMP(2024-07-22 19:02:40, YYYY-MM-DD HH24:MI:SS)"
28,3,Parfait,"TO_TIMESTAMP(2025-07-17 11:05:59, YYYY-MM-DD HH24:MI:SS)"
29,4,Memorable,"TO_TIMESTAMP(2024-04-05 21:48:21, YYYY-MM-DD HH24:MI:SS)"
30,3,A refaire tres vite,"TO_TIMESTAMP(2025-02-15 08:54:09, YYYY-MM-DD HH24:MI:SS)"
31,4,Excellent,"TO_TIMESTAMP(2025-01-10 18:48:41, YYYY-MM-DD HH24:MI:SS)"
32,2,Parfait,"TO_TIMESTAMP(2025-09-09 23:21:16, YYYY-MM-DD HH24:MI:SS)"
33,3,Parfait,"TO_TIMESTAMP(2026-08-11 07:39:57, YYYY-MM-DD HH24:MI:SS)"
34,3,Manque de fromage,"TO_TIMESTAMP(2024-04-11 23:07:18, YYYY-MM-DD HH24:MI:SS)"
35,3,Memorable,"TO_TIMESTAMP(2025-04-15 08:14:48, YYYY-MM-DD HH24:MI:SS)"
36,4,Un delice absolu,"TO_TIMESTAMP(2026-09-05 03:18:08, YYYY-MM-DD HH24:MI:SS)"
37,4,Parfait,"TO_TIMESTAMP(2024-05-25 21:49:12, YYYY-MM-DD HH24:MI:SS)"
38,2,Surnaturel,"TO_TIMESTAMP(2023-08-25 10:19:23, YYYY-MM-DD HH24:MI:SS)"
39,2,Parfait,"TO_TIMESTAMP(2023-12-29 18:48:43, YYYY-MM-DD HH24:MI:SS)"
40,5,Parfait,"TO_TIMESTAMP(2026-01-19 05:35:47, YYYY-MM-DD HH24:MI:SS)"
41,2,Un delice absolu,"TO_TIMESTAMP(2025-06-10 12:49:23, YYYY-MM-DD HH24:MI:SS)"
42,2,Parfait,"TO_TIMESTAMP(2025-10-01 23:24:21, YYYY-MM-DD HH24:MI:SS)"
43,3,Un delice absolu,"TO_TIMESTAMP(2026-08-25 07:29:54, YYYY-MM-DD HH24:MI:SS)"
44,2,Memorable,"TO_TIMESTAMP(2026-11-20 17:12:43, YYYY-MM-DD HH24:MI:SS)"
45,2,Manque de fromage,"TO_TIMESTAMP(2026-06-16 20:58:34, YYYY-MM-DD HH24:MI:SS)"
46,2,Manque de fromage,"TO_TIMESTAMP(2025-10-31 14:39:43, YYYY-MM-DD HH24:MI:SS)"
47,5,Excellent,"TO_TIMESTAMP(2023-06-24 07:34:41, YYYY-MM-DD HH24:MI:SS)"
48,5,Manque de fromage,"TO_TIMESTAMP(2025-06-23 14:29:40, YYYY-MM-DD HH24:MI:SS)"
49,4,Parfait,"TO_TIMESTAMP(2023-09-09 12:20:04, YYYY-MM-DD HH24:MI:SS)"
50,3,Memorable,"TO_TIMESTAMP(2023-01-02 22:07:52, YYYY-MM-DD HH24:MI:SS)"
51,3,A refaire tres vite,"TO_TIMESTAMP(2023-12-07 15:24:06, YYYY-MM-DD HH24:MI:SS)"
52,5,Parfait,"TO_TIMESTAMP(2023-11-26 10:52:32, YYYY-MM-DD HH24:MI:SS)"
53,4,Memorable,"TO_TIMESTAMP(2024-06-27 11:59:12, YYYY-MM-DD HH24:MI:SS)"
54,4,Un delice absolu,"TO_TIMESTAMP(2024-08-07 09:09:49, YYYY-MM-DD HH24:MI:SS)"
55,4,Surnaturel,"TO_TIMESTAMP(2023-01-21 12:45:24, YYYY-MM-DD HH24:MI:SS)"
56,3,Un delice absolu,"TO_TIMESTAMP(2025-11-14 07:42:54, YYYY-MM-DD HH24:MI:SS)"
57,2,Un peu trop cuit,"TO_TIMESTAMP(2025-05-24 06:58:03, YYYY-MM-DD HH24:MI:SS)"
58,5,Excellent,"TO_TIMESTAMP(2025-10-21 13:09:11, YYYY-MM-DD HH24:MI:SS)"
59,4,Surnaturel,"TO_TIMESTAMP(2023-06-29 12:30:11, YYYY-MM-DD HH24:MI:SS)"
60,2,Parfait,"TO_TIMESTAMP(2024-06-28 14:22:06, YYYY-MM-DD HH24:MI:SS)"
61,3,Manque de fromage,"TO_TIMESTAMP(2025-01-21 01:01:28, YYYY-MM-DD HH24:MI:SS)"
62,4,Manque de fromage,"TO_TIMESTAMP(2023-03-18 14:55:39, YYYY-MM-DD HH24:MI:SS)"
63,3,Un delice absolu,"TO_TIMESTAMP(2023-07-15 06:20:52, YYYY-MM-DD HH24:MI:SS)"
64,5,Un peu trop cuit,"TO_TIMESTAMP(2026-10-22 03:58:41, YYYY-MM-DD HH24:MI:SS)"
65,2,Parfait,"TO_TIMESTAMP(2023-03-15 20:33:24, YYYY-MM-DD HH24:MI:SS)"
66,5,Manque de fromage,"TO_TIMESTAMP(2025-11-13 03:32:56, YYYY-MM-DD HH24:MI:SS)"
67,3,Parfait,"TO_TIMESTAMP(2024-11-10 11:15:32, YYYY-MM-DD HH24:MI:SS)"
68,4,Un peu trop cuit,"TO_TIMESTAMP(2024-11-20 23:18:37, YYYY-MM-DD HH24:MI:SS)"
69,2,A refaire tres vite,"TO_TIMESTAMP(2023-07-10 12:45:19, YYYY-MM-DD HH24:MI:SS)"
70,5,Memorable,"TO_TIMESTAMP(2024-12-01 05:08:35, YYYY-MM-DD HH24:MI:SS)"
71,2,Un delice absolu,"TO_TIMESTAMP(2023-02-04 21:15:23, YYYY-MM-DD HH24:MI:SS)"
72,5,Un delice absolu,"TO_TIMESTAMP(2024-07-29 04:14:53, YYYY-MM-DD HH24:MI:SS)"
73,4,Memorable,"TO_TIMESTAMP(2024-07-18 04:00:03, YYYY-MM-DD HH24:MI:SS)"
74,4,Un delice absolu,"TO_TIMESTAMP(2026-05-17 15:48:22, YYYY-MM-DD HH24:MI:SS)"
75,4,Un peu trop cuit,"TO_TIMESTAMP(2024-04-02 22:27:18, YYYY-MM-DD HH24:MI:SS)"
76,5,Excellent,"TO_TIMESTAMP(2025-01-05 06:54:48, YYYY-MM-DD HH24:MI:SS)"
77,2,Incroyable,"TO_TIMESTAMP(2024-03-30 19:53:17, YYYY-MM-DD HH24:MI:SS)"
78,3,Un peu trop cuit,"TO_TIMESTAMP(2024-08-26 07:52:57, YYYY-MM-DD HH24:MI:SS)"
79,3,Un peu trop cuit,"TO_TIMESTAMP(2025-09-23 06:10:06, YYYY-MM-DD HH24:MI:SS)"
80,3,Un peu trop cuit,"TO_TIMESTAMP(2024-04-16 09:26:50, YYYY-MM-DD HH24:MI:SS)"
81,3,Un delice absolu,"TO_TIMESTAMP(2024-01-25 20:29:38, YYYY-MM-DD HH24:MI:SS)"
82,3,A refaire tres vite,"TO_TIMESTAMP(2024-06-20 18:32:46, YYYY-MM-DD HH24:MI:SS)"
83,4,Excellent,"TO_TIMESTAMP(2026-01-26 18:08:21, YYYY-MM-DD HH24:MI:SS)"
84,5,A refaire tres vite,"TO_TIMESTAMP(2025-03-19 13:38:28, YYYY-MM-DD HH24:MI:SS)"
85,3,A refaire tres vite,"TO_TIMESTAMP(2026-12-01 07:29:48, YYYY-MM-DD HH24:MI:SS)"
86,5,Parfait,"TO_TIMESTAMP(2024-12-17 06:07:30, YYYY-MM-DD HH24:MI:SS)"
87,2,Surnaturel,"TO_TIMESTAMP(2026-03-03 15:13:11, YYYY-MM-DD HH24:MI:SS)"
88,5,Un peu trop cuit,"TO_TIMESTAMP(2024-10-13 02:14:41, YYYY-MM-DD HH24:MI:SS)"
89,5,Un peu trop cuit,"TO_TIMESTAMP(2023-01-27 06:00:58, YYYY-MM-DD HH24:MI:SS)"
90,4,Surnaturel,"TO_TIMESTAMP(2025-01-21 13:28:53, YYYY-MM-DD HH24:MI:SS)"
91,2,A refaire tres vite,"TO_TIMESTAMP(2024-01-07 09:12:54, YYYY-MM-DD HH24:MI:SS)"
92,4,Manque de fromage,"TO_TIMESTAMP(2025-10-07 05:14:10, YYYY-MM-DD HH24:MI:SS)"
93,4,Memorable,"TO_TIMESTAMP(2023-06-25 19:13:54, YYYY-MM-DD HH24:MI:SS)"
94,4,Manque de fromage,"TO_TIMESTAMP(2024-01-03 05:50:15, YYYY-MM-DD HH24:MI:SS)"
95,4,Un delice absolu,"TO_TIMESTAMP(2024-11-21 21:13:12, YYYY-MM-DD HH24:MI:SS)"
96,5,Incroyable,"TO_TIMESTAMP(2023-10-22 00:13:26, YYYY-MM-DD HH24:MI:SS)"
97,3,Excellent,"TO_TIMESTAMP(2025-04-10 05:15:54, YYYY-MM-DD HH24:MI:SS)"
98,4,Un delice absolu,"TO_TIMESTAMP(2026-08-10 09:01:20, YYYY-MM-DD HH24:MI:SS)"
99,5,Incroyable,"TO_TIMESTAMP(2024-07-21 08:14:50, YYYY-MM-DD HH24:MI:SS)"
100,5,Manque de fromage,"TO_TIMESTAMP(2026-12-04 20:42:50, YYYY-MM-DD HH24:MI:SS)"
101,3,Manque de fromage,"TO_TIMESTAMP(2024-01-24 16:14:44, YYYY-MM-DD HH24:MI:SS)"
102,3,Incroyable,"TO_TIMESTAMP(2024-07-27 09:01:20, YYYY-MM-DD HH24:MI:SS)"
103,2,A refaire tres vite,"TO_TIMESTAMP(2025-07-09 02:16:43, YYYY-MM-DD HH24:MI:SS)"
104,2,Excellent,"TO_TIMESTAMP(2024-03-12 02:50:53, YYYY-MM-DD HH24:MI:SS)"
105,4,Parfait,"TO_TIMESTAMP(2026-12-14 19:06:49, YYYY-MM-DD HH24:MI:SS)"
106,3,Excellent,"TO_TIMESTAMP(2024-03-03 23:34:35, YYYY-MM-DD HH24:MI:SS)"
107,5,Excellent,"TO_TIMESTAMP(2023-03-12 12:43:45, YYYY-MM-DD HH24:MI:SS)"
108,2,Surnaturel,"TO_TIMESTAMP(2024-10-13 21:11:16, YYYY-MM-DD HH24:MI:SS)"
109,3,Un delice absolu,"TO_TIMESTAMP(2025-03-02 15:33:56, YYYY-MM-DD HH24:MI:SS)"
110,3,Excellent,"TO_TIMESTAMP(2023-04-19 00:39:41, YYYY-MM-DD HH24:MI:SS)"
111,2,A refaire tres vite,"TO_TIMESTAMP(2023-11-18 08:48:59, YYYY-MM-DD HH24:MI:SS)"
112,2,Surnaturel,"TO_TIMESTAMP(2025-07-24 12:52:09, YYYY-MM-DD HH24:MI:SS)"
113,2,Excellent,"TO_TIMESTAMP(2026-07-27 14:57:32, YYYY-MM-DD HH24:MI:SS)"
114,3,Manque de fromage,"TO_TIMESTAMP(2024-03-05 13:19:43, YYYY-MM-DD HH24:MI:SS)"
115,5,Parfait,"TO_TIMESTAMP(2025-06-23 05:00:35, YYYY-MM-DD HH24:MI:SS)"
116,4,Parfait,"TO_TIMESTAMP(2026-09-30 10:37:17, YYYY-MM-DD HH24:MI:SS)"
117,5,Parfait,"TO_TIMESTAMP(2025-04-23 04:53:37, YYYY-MM-DD HH24:MI:SS)"
118,3,Manque de fromage,"TO_TIMESTAMP(2023-04-20 02:06:31, YYYY-MM-DD HH24:MI:SS)"
119,5,Excellent,"TO_TIMESTAMP(2025-06-13 15:47:00, YYYY-MM-DD HH24:MI:SS)"
120,4,Memorable,"TO_TIMESTAMP(2024-10-26 19:08:14, YYYY-MM-DD HH24:MI:SS)"
121,3,Memorable,"TO_TIMESTAMP(2025-08-18 01:08:03, YYYY-MM-DD HH24:MI:SS)"
122,5,Un delice absolu,"TO_TIMESTAMP(2024-09-19 12:50:42, YYYY-MM-DD HH24:MI:SS)"
123,2,Un peu trop cuit,"TO_TIMESTAMP(2024-06-18 04:17:25, YYYY-MM-DD HH24:MI:SS)"
124,2,Un peu trop cuit,"TO_TIMESTAMP(2026-05-26 17:37:17, YYYY-MM-DD HH24:MI:SS)"
125,2,Memorable,"TO_TIMESTAMP(2025-11-21 02:32:26, YYYY-MM-DD HH24:MI:SS)"
